College Name,Address,District,Type
RIIM-THE ACADEMY SCHOOL OF BUSINESS MANAGEMENT,"SR.NO.31, NEAR DANGE CHOWK , TATHAWADE ROAD,TATHAWADE PUNE- 411033.M.S.",PUNE,Private-Self Financing
"GOVERNMENT POLYTECHNIC , RATNAGIRI","NEAR THIBAW PALACE , RATNAGIRI.",RATNAGIRI,Government
"SCHOOL OF COMPUTATIONAL SCEINCES, SWAMI RAMANAND TEERTH MARATHWADA UNIVERSITY","SCHOOL OF COMPUTATIONAL SCEINCES, SWAMI RAMANAND TEERTH MARATHWADA UNIVERSITY , NANDED",NANDED,Government
KRUSHNAJI PURUSHOTTAM CHOUSALKAR YOGESHWARI POLYTECHNIC,"S.NO.92, BEHIND YOGESHWARI COLLEGE, NAGZARI ROAD, AMBAJOGAI.",BEED,Private-Self Financing
"GOVERNMENT POLYTECHNIC, KARAD","AT POST - VIDYANAGAR, KARAD.",SATARA,Government
NETAJI SUBHASHCHANDRA BOSE EDUCATION TRUST'S NETAJI POLYTECHNIC COLLEGE,"GAT NO 21/1,VILLAGE AJANG,PAROLA ROAD,N.H.6, ,DIST DHULE(M.S.)",DHULE,Private-Self Financing
SWARAJ INSTITUTE OF MANAGEMENT,"S. NO.-636, NH-4,AT-VAHAGAON,POST-VANVASMACHI,TAL.-KARAD,DIST-SATARA",SATARA,Private-Self Financing
SHRI SAI INSTITUTE OF TECHNOLOGY,"PLOT NO. P-75, BEHIND GARWARE POLYESTER LTD., MIDC, CHIKALTHANA, AURANGABAD",AURANGABAD,Private-Self Financing
JAYAWANTRAO SAWANT POLYTECHNIC,"SR.NO.58, HANDEWADI ROAD, HADAPSAR",PUNE,Private-Self Financing
"AGASTI INSTITUTE OF MANAGEMENT, COMPUTER APPLICATION AND RESEARCH","AT POST AKOLE, TALUKA AKOLE, KOLHAT GHOTI ROAD, AKOLE",AHMEDNAGAR,Private-Self Financing
"RAMRAO NIKAM POLYTECHNIC COLLEGE, INDOLI","A/P-INDOLI TAL-KARAD, DIST-SATARA",SATARA,Private-Self Financing
"GOVERNMENT POLYTECHNIC,YAVATMAL","DHAMANGAO ROAD,YAVATMAL",YAVATMAL,Government
MOKASHI KRISHI VIKAS PRATISHTHAN'S DADASAHEB MOKASHI POLYTECHNIC,"SURVEY NO.75/1,75/2, RAJMACHI,SADASHIVGAD, TAL-KARAD, DIST-SATARA",SATARA,Private-Self Financing
RAJHIV GANDHI POLYTECHNIC COLLEGE MARKHEL,"AT,MARKHEL TQ.DEGLOOR",NANDED,Private-Self Financing
D. Y. PATIL UNIVERSITY SCHOOL OF MANAGEMENT,"SR. NO. 124 & 126, A/P AMBI, TALEGAON - DABHADE,TAL MAVAL,DIST PUNE",PUNE,Private-Self Financing
HUMERA KHAN INSTITUTE OF MANAGEMENT STUDIES & RESEARCH,"H.K. CAMPUS, ADJ. MHADA COMPLEX, PRATIKSHA NAGAR, OSHIWARA, JOGESHWARI (WEST), MUMBAI - 400 102.",MUMBAI SUBURBAN,Private-Self Financing
SUHAS INSTITUTE OF TECHNOLOGY,"GAT NO. 254, JAVJIBUVACHIWADI, POST: KASURDI, TALUKA - DAUND,",PUNE,Private-Self Financing
"MAHARASHTRA STATE INSTITUTE OF HOTEL MANAGEMENT & CATERING TECHNOLOGY,PUNE",412-C SHIVAJINAGAR,PUNE,Government
IDEAL INSTITUTE OF TECHNOLOGY,"GUT NO. 40, PIMPLAJ ROAD, VILLAGE -POSHERI, TALUKA -WADA, DIST-THANA.",THANE,Private-Self Financing
"GOVERNMENT RESIDENCE WOMEN POLYTECHNIC, TASGAON","MANE RAJURI ROAD, TASGAON",SANGLI,Government
INTERNATIONAL SCHOOL OF MANAGEMENT & RESEARCH,"SR. NO. 907, ZENDE MALA, GAIDHARA KANIFNATH ROAD, CHAITANYA LODGE, WADKI PUNE",PUNE,Private-Self Financing
ASHOKRAO MANE POLYTECHNIC,"GAT NO.113 A, NH4, PUNE-BENGALURU HIGHWAY",KOLHAPUR,Private-Self Financing
"GOVERNMENT POLYTECHNIC,BEED","NEAR KHANDESHWARI TEMPLE,NATHAPUR ROAD",BEED,Government
"DEPARTMENT OF BUSINESS MANAGEMENT RASHTRASANT TUKDOJI MAHARAJ NAGPUR UNIVERSITY, NAGPUR","LAW COLLEGE COMPOUND, AMRAVATI ROAD, NAGPUR 440001",NAGPUR,Govt aided
MAHARASHTRA INSTITUTE OF POLYTECHNIC,SURVEY NO. 402 BETALA PO. KINHI TA BRAMHAPURI DISTT. CHANDRAPUR (M. S.) 441 206,CHANDRAPUR,Private-Self Financing
VIDYA PRATISHTHANS INSTITUTE OF INFORMATION TECHNOLOGY,"VIDYANAGARI, BHIGWAN ROAD BARAMATI DIST- PUNE 413133",PUNE,Private-Self Financing
SUSHGANGA POLYTECHNIC,"AT- NAIGAON, POST - KONA",YAVATMAL,Private-Self Financing
LATE N B CHHABADA INSTITUTE OF ENGINEERING AND MANAGEMENT,"SURVEY NO. 259 AT & POST RIGAON, TALUKA JAOLI, DIST: SATARA- 415020",SATARA,Private-Self Financing
S. P. JAIN INSTITUTE OF MANAGEMENT & RESEARCH,"MUNSHI NAGAR, DADABHAI ROAD, ANDHERI (W)",MUMBAI CITY,Private-Self Financing
"SWAMI VIVEKANAD INSTITUTE OF POLYTECHNIC,LATUR","BARSHI ROAD,NEAR PVR TAKIES,MIDC,LATUR",LATUR,Private-Self Financing
"APPASAHEB ALIAS SA. RE. PATIL INSTITUTE OF TECHNOLOGY, DATTANAGAR.",DATTANAGAR 416120 TAL:SHIROL DIST:KOLHAPUR,KOLHAPUR,Private-Self Financing
VIVA INSTITUTE OF APPLIED ART,"AT:-SHIRGAON, POST:- VIRAR (E)",THANE,Private-Self Financing
SHRI LAXMANRAO MANKAR COLLEGE OF POLYTECHNIC,AMGAON,GONDIA,Private-Self Financing
BALLARPUR SEWASAMITI'S JAINUDDIN ZAWERI POLYTECHNIC,"AT. RAMPUR TUKUM, TAH: MUL, DIST: CHANDRAPUR",CHANDRAPUR,Private-Self Financing
NEW HORIZON INSTITUTE OF TECHNOLOGY & MANAGEMENT,"ANAND NAGAR, KAVESAR, OFF GHODBANDAR ROAD, THANE (WEST) 400615",THANE,Private-Self Financing
SOPHIA SHREE B.K.SOMANI MEMORIAL POLYTECHNIC,BHULABHAI DESAI ROAD MUMBAI 400 026,MUMBAI CITY,Govt aided
TRIMURTI INSTITUTE OF TECHNOLOGY,"SURVEY NO. 227/2, PALDHI BK. , NEAR NORTH MAHARASHTRA UNIVERSITY, OPP. HOTEL GOVIND,",JALGAON,Private-Self Financing
"GOVERNMENT POLYTECHNIC,GONDIA","FULCHUR PETH,GOREGAON ROAD,GONDIA-441601",GONDIA,Government
"GOVERNMENT POLYTECHNIC, SAKOLI","SHENDURWAFA, TALUKA-SAKOLI, DISTRICT- BHANDARA STATE-MAHARASHTRA",BHANDARA,Government
PIMPRI CHINCHWAD POLYTECHNIC,"SECTOR 26, PRADHIKARAN, NIGDI, PUNE, 411044",PUNE,Private-Self Financing
SAMARTH POLYTECHNIC,"A/P- BEHLE, (BANGARAWADI), TAL- JUNNAR, DIST -PUNE",PUNE,Private-Self Financing
DECCAN EDUCATION SOCIETY'S INSTITUTE OF MANAGEMENT DEVELOPMENT AND RESEARCH,DES CAMPUS AGHARKAR MARG,PUNE,Private-Self Financing
"GOVERNMENT POLYTECHNIC,KHAMGAON","JALAMB ROAD, OPP. I.T.I.",BULDHANA,Government
ORIENTAL SCHOOL OF BUSINESS,"PLOT NO.149, SECTOR 12, VASHI, NAVI MUMBAI-400703",THANE,Private-Self Financing
GOVERNMENT POLYTECHNIC AURANGABAD,"OSMANPURA, AURANGABD",AURANGABAD,Government
PROGRESSIVE EDUCATION SOCIETYS MODERN INSTITUTE OF BUSINESS STUDIES,SECTOR 21 YAMUNANAGAR NIGDI,PUNE,Private-Self Financing
K J SOMAIYA INSTITUTE OF TECHNOLOGY,"SOMAIYA AYURVIHAR COMPLEX, EVERARD NAGAR, EASTERN EXPRESS HIGHWAY,SION,",MUMBAI CITY,Private-Self Financing
SHIVAJIRAO S JONDHALE POLYTECNIC,NAVRE NAGAR B CABIN ROAD AMBERNTH EAST,THANE,Private-Self Financing
KALAWATIBAI COLLEGE OF ENGG & TECH(POLY),"LALWANDI ROAD , NAIGAON(BZ)",NANDED,Private-Self Financing
G. V. ACHARYA POLYTECHNIC,"VEERACHARYA TECHNICAL EDUCATION CAMPUS, OPP. SHELU SUBURBAN RAILWAY STATION, SHELU/DAMAT,",RAIGAD,Private-Self Financing
SHRI SAI TAJ POLYTECHNIC,"DRUGDHAMNA, 8TH MILE,AMRAVATI ROAD, NAGPUR.",NAGPUR,Private-Self Financing
SHIVAJI POLYTECHNIC ATPADI,"NEAR SURESH INDANE GAS AGENCY, AT/POST/TAL-ATPADI DIST-SANGLI",SANGLI,Private-Self Financing
"GOVERNMENT RESIDENTIAL WOMEN'S POLYTECHNIC,LATUR","NEAR GOVT.COLONY ,BARSHI ROAD,LATUR-413531(M.S.)",LATUR,Government
AMRUTVAHINI POLYTECHNIC,"AMRUTNAGAR, P.O. SANGAMNER S.K. TAL: SANGAMNER DIST: AHMEDNAGAR",AHMEDNAGAR,Private-Self Financing
SIES GRADUATE SCHOOL OF TECHNOLOGY,"SRI CHANDRASEKARENDRA SARASWATHY VIDYAPURAM, SECTOR-V, NERUL, NAVI MUMBAI",THANE,Private-Self Financing
MAULI INSTITUTE OF TECHNOLOGY (POLYTECHNIC) AMALNER,"GUT NO 25/1/A, DHEKU ROAD, AMBASAN DHEKU,",JALGAON,Private-Self Financing
WATUMULL INSTITUTE OF ENGINEERING AND TECHNOLOGY,"PLOT NO. 157, SRIMATI S H MANSUKHANI ROAD, OPPOSITE ULHASNAGAR RAILWAY STATION (WEST), ULHASNAGAR, DISTT. THANE, MAHARASHTRA-421003",MUMBAI CITY,Private-Self Financing
JMCT POLYTECHNIC NASHIK,"WADALA ROAD , WADALA NASHIK",NASHIK,Private-Self Financing
MET'S INSTITUTE OF TECHNOLOGY-POLYTECHNIC,BHUJBAL KNOWLEDGE CITY GAT NO.1071 ADGAON,NASHIK,Private-Self Financing
TERNA PUBLIC CHARITABLE TRUST'S TERNA ENGINEERING COLLEGE,"PLOT NO 12, SECTOR 22, PHASE II , OPPOSITE NERUL RAILWAY STATION, NERUL (WEST)",THANE,Private-Self Financing
SAI POLYTECHNIC,"MAUZA-KINHI(J), POST-DAHEGAON,TA-RALEGAON, DIST-YAVATMAL.",YAVATMAL,Private-Self Financing
LOKMANYA TILAK COLLEGE OF ENGINEERING,"SECTOR-4,KOPARKHAIRANE, PLOT NO.17,18 & 19, NAVI MUMBAI",MUMBAI CITY,Private-Self Financing
GOVERNMENT POLYTECHNIC HINGOLI,P-9 M.I.D.C. LIMBALA HINGOLI,HINGOLI,Government
"KADWA POLYTECHNIC,RAJARAM NAGAR","RAJARAM NAGAR, TAL:DINDORI DIST:NASHIK",NASHIK,Private-Self Financing
DR. BAPUJI SALUNKHE INSTITUTE OF ENGINEERING AND TECHNOLOGY,"2130, E WARD, TARABAI PARK",KOLHAPUR,Private-Self Financing
ZEAL POLYTECHNIC,"S NO 39 NARHE ,PUNE HAVELI",PUNE,Private-Self Financing
"GOVERNMENT POLYTECHNIC, GADCHIROLI","MIDC ROAD, INDALA, GADCHIROLI",GADCHIROLI,Government
"SHRI GULABRAO DEOKAR POLYTECHNIC, JALGAON","P B NO.113, GAT NO.26/1, MOHADI SHIVAR, JALGAON",JALGAON,Private-Self Financing
MDA INSTITUTE OF POLYTECHNIC KOLPA,AT. KOLPA POST. KASARKHEDA TQ. & DIST. LATUR,LATUR,Private-Self Financing
"JAWAHAR EDUCATION SOCIETY'S INSTITUTE OF TECHNOLOGY, MANAGEMENT AND RESEARCH NASHIK","SURVE NO. 48, GOWARDHAN, GANAGPUR ROAD NASHIK.",NASHIK,Private-Self Financing
MANAV SCHOOL OF ENGINEERING AND TECHNOLOGY,"GUT NO 1035, NAGPUR SURAT HIGHWAY NH 6, VYALA",AKOLA,Private-Self Financing
"GOVERNMENT POLYTECHNIC, AHMEDNAGAR","NEAR I.T.I., BURUDGAON ROAD, AHMEDNAGAR - 414001",AHMEDNAGAR,Government
GOVERNMENT POLYTECHNIC PUNE,"UNIVERSITY ROAD,GANESHKHID,PUNE",PUNE,Government
GOVERNMENT POLYTECHNIC NANDURBAR,"MAUJE HOLE TARFE HAVELI,NEAR DUBKESHWAR MAHADEV MANDIR NANDURBAR",NANDURBAR,Government
GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED,GRAMIN POLYTECHNIC VISHNUPURI NANDED,NANDED,Private-Self Financing
SAHAKAR MAHARSHI SHANKARRAO MOHITE-PATIL INSTITUTE OF TECHNOLOGY & RESEARCH,"GAT NO. 93/2/2, 94 AT/POST - YASHWANTNAGAR, TALUKA - MALSHIRAS, DISTRICT - SOLAPUR",SOLAPUR,Private-Self Financing
SANT GAJANAN MAHARAJ RURAL POLYTECHNIC,"SITE - CHINCHEWADI, TAL - GADHINGLAJ, DIST. KOLHAPUR",KOLHAPUR,Private-Self Financing
P. D. PATIL INSTITUTE OF POLYTECHNIC,"SUR. NO 533/3, ARVI ROAD, TALEGAON(SP) TQ. ASHTI DIST. WARDHA",WARDHA,Private-Self Financing
ALL INDIA SHRI SHIVAJI MEMORIAL SOCIETYS POLYTECHNIC,"KENNEDY ROAD, NEAR RTO, PUNE-411001",PUNE,Private-Self Financing
JAIHIND POLYTECHNIC KURAN,"A/P. KURAN, TAL. JUNNAR, DIST. PUNE",PUNE,Private-Self Financing
ABHINAV EDUCATION SOCIETYS COLLEGE OF ENGINEERING AND TECHNOLOGY (POLYTECHNIC),"SR. NO.-209, AT-WADWADI POST- WING TAL-KHANDALA DIST-SATARA PIN-412801",SATARA,Private-Self Financing
GOVINDRAO WANJARI COLLEGE OF ENGINEERING & TECHNOLOGY,"148-149, SALAI GODHANI, NEAR CHIKNA VILLAGE, HUDKESHWAR ROAD, NAGPUR",NAGPUR,Private-Self Financing
LATTHE EDUCATION SOCIETY'S POLYTECHNIC,"P-41, MIDC, KUPWAD",SANGLI,Private-Self Financing
"SHRI BHAIRAVNATH NISARG MANDAL'S, DIPLOMA IN ENGINEERING & TECHNOLOGY(POLYTECHNIC)","GUT NO. 93,GEORAI TANDA, PAITHAN ROAD, AURANGABAD",AURANGABAD,Private-Self Financing
SOU SHARDADEVI PANDIT POLYTECHNI INSTITUTE ALANI,AT GADPATI ALANI TQ.& DIST.OSMANABAD,OSMANABAD,Private-Self Financing
"MARATHWADA MITRA MANDAL'S POLYTECHNIC, THERGAON, PUNE","S.NO. 4/17, SECTOR NO. 34, PCNTDA, OFF KALEWADI ROAD, THERGAON, PUNE",PUNE,Private-Self Financing
GUNAI SHIKSHAN PRASARAK MANDAL'S RAJIV GANDHI POLYTECHNIC,UDGIR,LATUR,Private-Self Financing
GOVERNMENT INSTITUTE OF HOTEL MANAGEMENT AND CATERING TECHNOLOGY,GOVERNMENT POLYTECHNIC CAMPUS MAGALWARI BAZAR SADAR,NAGPUR,Government
GOVERNMENT COLLEGE OF ENGINEERING YAVATMAL,"DHAMANGAON ROAD,YAVATMAL",YAVATMAL,Government
BAJAJ CHANDRAPUR POLYTECHNIC CHANDRAPUR,"BALAJI WARD,NEAR FISH MARKET,",CHANDRAPUR,Private-Self Financing
"AMRUTVAHINI COLLEGE OF ENGINEERING, SANGAMNER","AMRUTNAGAR, GHULWADI, SANGAMNER , DIST - AHMEDNAGAR",AHMEDNAGAR,Private-Self Financing
P K TECHNICAL CAMPUS,"GAT NO. 714 ( OLD 1680) AT: KADACHIWADI CHAKAN, TALUKA:KHED DISTRICT:PUNE-410501",PUNE,Private-Self Financing
"SHIVAJI POLYTECHNIC COLLEGE, SANGOLA","SURVEY NO.76/1,77 ,SANGOLA-JATH ROAD SANGOLA",SOLAPUR,Private-Self Financing
DR.D.Y.PATIL SCHOOL OF MCA,"DR. D. Y. PATIL KNOWELDGE CITY, S. NO. 136, CHARHOLI (BK), VIA LOHEGAON, TAL.- HAVELI",PUNE,Private-Self Financing
DR.D.Y.PATIL POLYTECHNIC,KASABA BAVADA,KOLHAPUR,Private-Self Financing
SHRIMAN BHAUSAHEB ZADBUKE INSTITUTE OF POLYTECHNIC,"GAT NO. 280,282,273,275,276 , AT.- PURI POST-GHARI",SOLAPUR,Private-Self Financing
SHRI. SHIVAJIRAO DESHMUKH INSTITUTE OF TECHNOLOGY,"AT/POST- RED, SHIRALA, TAL- SHIRALA, DIST- SANGLI PIN-415408",SANGLI,Private-Self Financing
ST. XAVIER'S TECHNICAL INSTITUTE,"MAHIM CAUSEWAY, MAHIM(WEST), MUMBAI 400016",MUMBAI CITY,Govt aided
YASHWANTRAO CHAVAN SCHOOL OF RURAL DEVELOPMENT,"YASHWANTRAO CHAVAN SCHOOL OF RURAL DEVELOPMENT , VIDYANAGAR, SHIVAJI UNIVERSITY , KOLHAPUR",KOLHAPUR,Govt aided
LAXMINARAYAN INNOVATION TECHNOLOGICAL UNIVERSITY,"OPP. BHARAT NAGAR, AMRAVATI ROAD",NAGPUR,State Government University
"SWAMI VIVEKANAND POLYTECHNIC,JOLA.","AT JOLA , POST DEVGAON, TQ- KAIJ,DIST- BEED, ST- MAHARASHTRA.",BEED,Private-Self Financing
"GURU GOBIND SINGH COLLEGE OF ENGINEERING AND RESEARCH CENTRE, NASHIK","KHALSA EDUCATIONAL COMPLEX, GURU GOBIND SINGH MARG, NASHIK",NASHIK,Private-Self Financing
"SHRI VATAVRUKSHA SWAMI MAHARAJ DEVASTHAN'S,KAI.KALYANRAO(BALASAHEB) INGALE POLYTECHNIC COLLEGE","GAT # 604/2,NEAR BHAKTA NIWAS, GANAGAPUR ROAD, AKKALKOT",SOLAPUR,Private-Self Financing
"LAL BAHADUR SHASTRI POLYTACHNIC INSTITUTE, TONDAR",AT/POST : TONDAR TQ. : UDGIR DIST. : LATUR,LATUR,Private-Self Financing
THAKUR SHYAMNARAYAN ENGINEERING COLLEGE,"THAKUR COMPLEX, KANDIVLI (E), MUMBAI - 400101",MUMBAI SUBURBAN,Private-Self Financing
"VIDYA VIKAS PRATISHTHAN POLYTECHNIC,SOLAPUR","GAT NO 72/2 PRATAPNAGAR, SOREGAON-DONGAON ROAD SOREGAON SOLAPUR",SOLAPUR,Private-Self Financing
"SMT. SHARCHCHANDRIKA SURESH PATIL INSTITUTE OF TECHNOLOGY ( ENGINEERING & POLYTECHNIC), CHOPDA","MGSM'S CAMPUS, YAWAL ROAD, CHOPDA",JALGAON,Private-Self Financing
BABASAHEB PHADTARE ENGINEERING & TECHNOLOGY KALAMB-WALCHANDNAGAR TAL- INDAPUR DIST PUNE,"SR.NO.40/1KALAMB-WALCHANDNAGAR, TALUKA - INDAPUR, DISTRICT - PUNE",PUNE,Private-Self Financing
ORIENTAL INSTITUTE OF MANAGEMENT,"PLOT NO.149, SECTOR 12, VASHI, NAVI MUMBAI-400703",THANE,Private-Self Financing
"COLLEGE OF ENGINEERING & TECHNOLOGY, NORTH MAHARASHTRA KNOWLEDGE CITY, JALGAON",GAT NO. 166 BAMBHORI TAL. DHARANGAON DIST. JALGAON,JALGAON,Private-Self Financing
G. E. SOCIETY'S KATGARA POLYTECHNIC INSTITUTE,"AT POST BORDI, TAL. DAHANU",THANE,Private-Self Financing
RAJENDRA JOTIRAM PHULE POLYTECHNIC,"BELGAON ROAD, MIRAJGAON, TAL : KARJAT DIST : AHMEDNAGAR",AHMEDNAGAR,Private-Self Financing
SHRI VYANKATESH POLYTECHNIC,YELAKELI TH-SELOO DIST- WARDHA,WARDHA,Private-Self Financing
"POTDAR FOUNDATION TALODA,POTDAR POLYTECHNIC, PATNE, MALEGAON, NASHIK","NEAR KALAVATI DEVI TEMPLE,SAYGAON.TAL-MALEGAON DIST-NASHIK",NASHIK,Private-Self Financing
"GOVERNMENT POYTECHNIC, THANE","OPP. BHARAT GEAR CO. LTD. PHADKE PADA, KHARDI GOAN, MUMBRA ( EAST )",THANE,Government
MITTHULALJI SARDA INSTITUTE OF TECHNOLOGY,NALWANDI ROAD SERVE NO. 123 BAHIRWADI,BEED,Private-Self Financing
AKEMI BUSINESS SCHOOL,"SR. NO. 30/3/1, 30/4/A,30/4/B, BUCHADE VASTI, VILLAGE - MARUNJI, TAL - MULSHI, DIST - PUNE",PUNE,Private-Self Financing
ANANTRAO PAWAR COLLEGE OF ENGINEERING & RESEARCH,"S.NO. 103 PARVATI RAMANA, SHAHU COLLEGE ROAD, PUNE 411009",PUNE,Private-Self Financing
K. P. PATIL INSTITUTE OF TECHNOLOGY (POLYTECHNIC),A/P MUDAL TAL. BHUDARGAD DIST. KOLHAPUR,KOLHAPUR,Private-Self Financing
CHHATRAPATI SHIVAJI MAHARAJ INSTITUTE OF TECHNOLOGY,"92A/1, OLD MUMBAI PUNE HIGHWAY, NEAR SHEDUNG TOLL NAKA,",RAIGAD,Private-Self Financing
RENAISSANCE POLYTECHNIC CHANDRAPUR,DATALA NEW CHANDRAPUR,CHANDRAPUR,Private-Self Financing
NEW SATARA COLLEGE OF ENGINEERING & MANAGEMENT,"GUT NO. - 433/1/A, VILLAGE - KORTI, TAL - PANDHARPUR, DIST - SOLAPUR",SOLAPUR,Private-Self Financing
ADITYA INSTITUTE OF MANAGEMENT STUDIES & RESEARCH,"F.P NO. 661+663+667/B, TPS III, NEAR KALPANA CHAWLA CHOWK, RAMNAGAR, BORIVALI(W)",MUMBAI SUBURBAN,Private-Self Financing
INDO GERMAN TOOL ROOM,"P-31, MIDC, CHIKALTHANA INDUSTRIAL AREA,",AURANGABAD,Government
"MAULI GROUP OF INSTITUTIONS, COLLEGE OF ENGINEERING AND TECHNOLOGY","KHAMGAON ROAD, SHEGAON",BULDHANA,Private-Self Financing
"SAHYADRI INSTITUTE OF MANAGEMENT & RESERCH, SAWARDE",A/P- SAWARDE TAL- CHIPLUN DIST:- RATNAGIRI,RATNAGIRI,Private-Self Financing
SHREE SAMARTH POLYTECHNIC,VIDYANAGAR MHASANE PHATA,AHMEDNAGAR,Private-Self Financing
"BALAGHAT POLYTECHNIC,RUDDHA-AHMEDPUR","NANDED-LATUR HIGHWAY ROAD, RUDDHA-AHMEDPUR",LATUR,Private-Self Financing
POTDAR POLYTECHNIC,"BAMBRUD ,SERVE NO.11,BHADGAON ROAD TAL -PACHORA DIST-JALGAON",JALGAON,Private-Self Financing
SUNSUBA POLYTECHNIC,"AT-LAXMINAGAR,POST-MUNDEGAON,TAL-IGATPURI,DIST-NASHIK 422403",NASHIK,Private-Self Financing
"DR. PANJABRAO DESHMUKH GIRLS POLYTECHNIC,AMRAVATI.","RURAL CAMPUS SHIVAJI NAGAR, AMRAVATI",AMRAVATI,Private-Self Financing
B.H.S.S.TRUST'S POLYTECHNIC,"BHAYGAON ROAD ,MALEGAON CAMP",NASHIK,Private-Self Financing
"CHRIST (DEEMED TO BE UNIVERSITY), PUNE LAVASA CAMPUS","DASVE LAVASA, LAVASA",PUNE,Deemed to be University(Pvt)
INTERNATIONAL CENTRE OF EXCELLENCE IN ENGINEERING AND MANAGEMENT (ICEEM),"GUT NO- 4, OPPOSIT BAJAJ AUTO LTD. ,IN FRONT OF MIDC FILTERATION PLANT AURANGABAD - PUNE HIGHWAY,",AURANGABAD,Private-Self Financing
SHRI SOMESHWAR SHIKSHAN PRASARAK MANDAL SHARADCHANDRA PAWAR COLLEGE OF ENGINEERING AND TECHNOLOGY,"GAT.NO. 53, WAGHALWADI, POST SOMESHWARNAGAR, TAL-BARAMATI, DIST PUNE.",PUNE,Private-Self Financing
BALASAHEB MHATRE POLYTECHNIC,"BADLAPUR(W), AT KANHOR , TALUKA AMBERNATH DIST THANE",THANE,Private-Self Financing
"MATOSHRI COLLEGE OF ENGINEERING & RESEARCH CENTRE, NASHIK","EKLAHARE, NEAR ODHA GAON, AURANGABAD HIGHWAY,",NASHIK,Private-Self Financing
"SVERI'S ,COLLEGE OF ENGINEERING (POLYTECHNIC),PANDHARPUR","GOPALPUR -RANJANI ROAD, GOPALPUR, P.B. NO. 54, TAL - PANDHARPUR- 413 304, DIST.- SOLAPUR (MAHARASHTRA)",SOLAPUR,Private-Self Financing
VIDYAVARDHINI INSTITUTE OF TECHNOLOGY,"A/P-PAL, TAL-BHUDARGAD, DIST-KOLHAPUR, PIN-416209.",KOLHAPUR,Private-Self Financing
"NEW INSTITUTE OF TECHNOLOGY, KOLHAPUR","R.S. NO. 264, SHANTI NAGAR, UCHAGAON, KOLHAPUR - 416005",KOLHAPUR,Private-Self Financing
"SWAMI RAMANAND TEERTH MARATHWADA UNIVERSITY'S SUB-CENTRE,LATUR","SUB-CENTRE,LATUR, AUSA ROAD, PETH",LATUR,State Government University
YASHWANTRAO CHAVAN INSTITUTE OF POLYTECHNIC,"SURVEY NO. 107, 109 WASANWADI TAL. BEED",BEED,Private-Self Financing
KINKAR INSTITUTE OF TECHNOLOGY,"REHAKI ROAD, SELOO",WARDHA,Private-Self Financing
DR. ARUN MOTGHARE POLYTECHNIC,KOSRA-KONDHA,BHANDARA,Private-Self Financing
VASANTRAO MORE POLYTECHNIC,"TEHU, TALUKA-PAROLA",JALGAON,Private-Self Financing
SMT GEETA D TATKARE POLYTECHNIC,"AT- GOVE, POST- KOLAD, TAL-ROHA, DIST- RAIGAD",RAIGAD,Private-Self Financing
DKTE SOCIETY'S YASHWANTRAO CHAVAN POLYTECHNIC,"R.S.NO. 644, SANGLI ROAD, NEAR ADINATH SOCIETY, ICHALKARANJI",KOLHAPUR,Private-Self Financing
PIMPRI CHINCHWAD EDUCATION TRUST'S PIMPRI CHINCHWAD COLLEGE OF ENGINEERING AND RESEARCH,"PLOT NO.B,OF SURVEY NO.110(1),110(2),110(3),AT LAXMINAGAR,RAVET,HAVELI,PUNE",PUNE,Private-Self Financing
KARMAVEER SHANKARRAO KALE EDUCATION SOCIETY'S GAUTAM POLYTECHNIC INSTITUTE,"GAUTAM NAGAR, POST - KOLPEWADI, TAL. KOPARGAON",AHMEDNAGAR,Private-Self Financing
DR.D.Y.PATIL COLLEGE OF ENGINEERING & INNOVATION,"SR.NO.27/A/1/2K, NEAR TALEGAON RAILWAY STATION, A/P VARALE, TALEGAON, TAL-MAVAL,DIST PUNE 410507",PUNE,Private-Self Financing
THE PEOPLES EDUCATION SOCIETY'S DIPLOMA COLLEGE OF ENGINEERING & TECHNOLOGY,"BEHIND POLICE QUARTERS, A/P. TAL. JMAKHED DIST. AHMEDNAGAR.",AHMEDNAGAR,Private-Self Financing
"VIVEKANAND EDUCATION SOCIETY'S POLYTECHNIC,SITASAONGI","AT+PO-SITASAONGI,TAH-TUMSAR,DISTT.-BHANDARA(M.S)",BHANDARA,Private-Self Financing
"PURANMAL LAHOTI GOVERNMENT INSTITUTE OF ENGINEERING AND TECHNOLOGY, LATUR","P.L.GOVERNMENT POLYTECHNIC,AUSA ROAD,LATUR",LATUR,Government
JAMIA INSTITUTE OF TECHNOLOGY,"MOLGI ROAD, AMLIBARI FATA",NANDURBAR,Private-Self Financing
"GOVERNMENT INSTITUTE OF PRINTING TECHNOLOGY, MUMBAI","D.N. ROAD, SIR J.J. COLLEGE OF ART CAMPUS, NEAR CRAWFORD MARKET, MUMBAI",MUMBAI CITY,Government
"MATOSHRI INSTITUTE OF TECHNOLOGY, DHANORE","SUR.NO.101/3 A, 101/2/1, DHANORE, TAL: YEOLA, DIST: NASHIK",NASHIK,Private-Self Financing
"GOVERNMENT POLYTECHNIC,MURTIZAPUR","AT NH-6 AMRAVATI-AKOLA ROAD,HENDAJ, MURTIZAPUR",AKOLA,Government
